Feather Crotchet Human Hair,Hair Texture,Length,Quantity,Natural color /#1 ,#1B,Dark Brown/ #4,Honey Blonde / #27,Auburn Brown / #30,Bug/#99J,#1B/350,,,Weight,Specifications
,Body Wave,"12, 14, 16, 18, 20, 22, 24","1,2,3 (Full Head),  5 (Recommend)","44.49,52.49, 60.49, 68.49, 75.49, 82.49, 100.49","44.49,52.49, 60.49, 68.49, 75.49, 82.49, 100.49","55.49, 60.49, 65.49, 70.49, 80.49, 90.49, 100.49","68.49,75.49,80.49, 85.49,95.49,110.49,120.49","55.49, 60.49, 65.49, 70.49, 80.49, 90.49, 100.49","68.49,75.49,80.49, 85.49,95.49,110.49,120.49","68.49,75.49,80.49, 85.49,95.49,110.49,120.49",,,50g per pack,"- Elegant Impressions Feather Crochet Body Wave 
- Made from 100% human hair for a soft, natural finish
- Reusable
- Light weight

Packaging & Quantity:
- 50g per pack
- 3-5 pack recommended for a full, voluminous look"
,Burmese Curly,"12, 14, 16, 18, 20, 22, 24","1,2,3 (Full Head),  5 (Recommend)","44.49,52.49, 60.49, 68.49, 75.49, 82.49, 100.49","44.49,52.49, 60.49, 68.49, 75.49, 82.49, 100.49","55.49, 60.49, 65.49, 70.49, 80.49, 90.49, 100.49","68.49,75.49,80.49, 85.49,95.49,110.49,120.49","55.49, 60.49, 65.49, 70.49, 80.49, 90.49, 100.49","68.49,75.49,80.49, 85.49,95.49,110.49,120.49","68.49,75.49,80.49, 85.49,95.49,110.49,120.49",,,50g per pack,"- Elegant Impressions Burmese Curly Human Hair Crochet
- Delivers soft, bouncy, and natural-looking curls
- Made from 100% human hair for a flawless, realistic blend
- Easy loop system for quick and stress-free installation
- Lightweight and protective for comfortable wear
- Ideal for beginners and professionals
- Blends seamlessly with natural hair for a polished finish
- It is Reusable
Packaging & Quantity:
- 50g per pack
- 3-5 packs recommended for a full, voluminous look"
,"Deep Wave
","12, 14, 16, 18, 20, 22, 24","1,2,3 (Full Head),  5 (Recommend)","44.49,52.49, 60.49, 68.49, 75.49, 82.49, 100.49","44.49,52.49, 60.49, 68.49, 75.49, 82.49, 100.49","55.49, 60.49, 65.49, 70.49, 80.49, 90.49, 100.49","68.49,75.49,80.49, 85.49,95.49,110.49,120.49","55.49, 60.49, 65.49, 70.49, 80.49, 90.49, 100.49","68.49,75.49,80.49, 85.49,95.49,110.49,120.49","68.49,75.49,80.49, 85.49,95.49,110.49,120.49",,,50g per pack,"- Elegant Impressions Deep Wave Human Hair Crochet
- Delivers soft, bouncy, and natural-looking curls
- Made from 100% human hair for a flawless, realistic blend
- Easy loop system for quick and stress-free installation
- Lightweight and protective for comfortable wear
- Ideal for beginners and professionals
- Blends seamlessly with natural hair for a polished finish
- It is Reusable
Packaging & Quantity:
- 50g per pack
- 3-5 packs recommended for a full, voluminous look"
,Straight Kinky,"12, 14, 16, 18, 20, 22, 24","1,2,3 (Full Head),  5 (Recommend)","44.49,52.49, 60.49, 68.49, 75.49, 82.49, 100.49","44.49,52.49, 60.49, 68.49, 75.49, 82.49, 100.49","55.49, 60.49, 65.49, 70.49, 80.49, 90.49, 100.49","68.49,75.49,80.49, 85.49,95.49,110.49,120.49","55.49, 60.49, 65.49, 70.49, 80.49, 90.49, 100.49","68.49,75.49,80.49, 85.49,95.49,110.49,120.49","68.49,75.49,80.49, 85.49,95.49,110.49,120.49",,,50g per pack,"- Elegant Impressions Straight Kinky Human Hair Crochet
- Delivers soft, bouncy, and natural-looking curls
- Made from 100% human hair for a flawless, realistic blend
- Easy loop system for quick and stress-free installation
- Lightweight and protective for comfortable wear
- Ideal for beginners and professionals
- Blends seamlessly with natural hair for a polished finish
- It is Reusable
Packaging & Quantity:
- 50g per pack
- 3-5 packs recommended for a full, voluminous look"
,Twist Curly,"12, 14, 16, 18, 20, 22, 24","1,2,3 (Full Head),  5 (Recommend)","44.49,52.49, 60.49, 68.49, 75.49, 82.49, 100.49","44.49,52.49, 60.49, 68.49, 75.49, 82.49, 100.49","55.49, 60.49, 65.49, 70.49, 80.49, 90.49, 100.49","68.49,75.49,80.49, 85.49,95.49,110.49,120.49","55.49, 60.49, 65.49, 70.49, 80.49, 90.49, 100.49","68.49,75.49,80.49, 85.49,95.49,110.49,120.49","68.49,75.49,80.49, 85.49,95.49,110.49,120.49",,,50g per pack,"- Elegant Impressions Twist Curly Human Hair Crochet
- Delivers soft, bouncy, and natural-looking curls
- Made from 100% human hair for a flawless, realistic blend
- Easy loop system for quick and stress-free installation
- Lightweight and protective for comfortable wear
- Ideal for beginners and professionals
- Blends seamlessly with natural hair for a polished finish
- It is Reusable
Packaging & Quantity:
- 50g per pack
- 3-5 packs recommended for a full, voluminous look"
,Kinky Curly,"12, 14, 16, 18, 20, 22, 24","1,2,3 (Full Head),  5 (Recommend)","74.49, 84.49,94.49, 99.49, 105.49, 115.49, 125.49","74.49, 84.49,94.49, 99.49, 105.49, 115.49, 125.49","55.49, 60.49, 65.49, 70.49, 80.49, 90.49, 100.49","74.49, 84.49,94.49, 99.49, 105.49, 115.49, 125.49","55.49, 60.49, 65.49, 70.49, 80.49, 90.49, 100.49","74.49, 84.49,94.49, 99.49, 105.49, 115.49, 125.49","74.49, 84.49,94.49, 99.49, 105.49, 115.49, 125.49",,,50g per pack,"- Elegant Impressions Kinky Curly Human Hair Crochet
- Delivers soft, bouncy, and natural-looking curls
- Made from 100% human hair for a flawless, realistic blend
- Easy loop system for quick and stress-free installation
- Lightweight and protective for comfortable wear
- Ideal for beginners and professionals
- Blends seamlessly with natural hair for a polished finish
- It is Reusable
Packaging & Quantity:
- 50g per pack
- 3-5 packs recommended for a full, voluminous look"
,Water wave,"12, 14, 16, 18, 20, 22, 24","1,2,3 (Full Head),  5 (Recommend)","74.49, 84.49,94.49, 99.49, 105.49, 115.49, 125.49","74.49, 84.49,94.49, 99.49, 105.49, 115.49, 125.49","55.49, 60.49, 65.49, 70.49, 80.49, 90.49, 100.49","74.49, 84.49,94.49, 99.49, 105.49, 115.49, 125.49","55.49, 60.49, 65.49, 70.49, 80.49, 90.49, 100.49","74.49, 84.49,94.49, 99.49, 105.49, 115.49, 125.49","74.49, 84.49,94.49, 99.49, 105.49, 115.49, 125.49",,,50g per pack,"- Elegant Impressions Water Wave  Human Hair Crochet
- Delivers soft, bouncy, and natural-looking curls
- Made from 100% human hair for a flawless, realistic blend
- Easy loop system for quick and stress-free installation
- Lightweight and protective for comfortable wear
- Ideal for beginners and professionals
- Blends seamlessly with natural hair for a polished finish
- It is Reusable
Packaging & Quantity:
- 50g per pack
- 3-5 packs recommended for a full, voluminous look"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Note on Qty & Price: We need logic implement for discount - Price for 3 QTY to be reduced by £10.00 while price for 5 QTY to be reduced by £20.00 ,,,,,,,,,,
